EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
26	123919	124152	123681	122377	120695	119953	120474	122474	124914	126831	127089	126296	125143	124800	125663	127806	130061	130836	130618	130792	132525	136130	141948	149705	152454	156745	156340	156816	158779	157102	153430	149022	144623	140674	136006	132554	129000	125134	122623	120645	120640	122908	126480	129722	130531	129920	127865	126160	126857	128913	126230	119698	116200	116109	117428	118382	118464	118058	117425																																																												
27	123216	123870	124113	123650	122357	120687	119957	120486	122491	124936	126862	127136	126456	125331	125071	125983	128200	130432	131205	131181	131449	133012	136784	142721	150846	154941	160577	161382	161803	160885	157719	153723	149246	144830	140878	136209	132758	129205	125341	122832	120854	120850	123117	126689	129931	130740	130130	128076	126372	127069	129125	126442	119912	116415	116324	117644	118598	118680	118274																																																												
28	122070	123164	123827	124079	123627	122346	120687	119965	120500	122510	124964	126905	127291	126637	125593	125380	126366	128562	130792	131754	131822	131917	133642	137530	143824	153250	158558	165450	166202	163835	161476	157998	153935	149442	145022	141070	136402	132953	129402	125539	123031	121055	121051	123318	126889	130130	130940	130330	128277	126574	127271	129327	126646	120118	116621	116531	117850	118805	118887																																																												
29	120355	122016	123119	123790	124052	123612	122342	120691	119976	120517	122535	125005	127050	127460	126885	125887	125746	126711	128904	131315	132366	132262	132512	134348	138576	146108	156615	163188	170028	168127	164390	161734	158193	154115	149619	145199	141248	136582	133135	129585	125724	123217	121242	121239	123506	127076	130317	131127	130518	128466	126763	127461	129517	126837	120310	116815	116725	118045	118999																																																												
30	118062	120298	121967	123078	123758	124032	123602	122341	120697	119988	120538	122572	125139	127207	127691	127159	126230	126069	127031	129397	131891	132776	132818	133173	135329	140729	149240	160982	167505	171838	168643	164626	161911	158356	154274	149779	145361	141411	136747	133301	129754	125895	123389	121415	121412	123679	127249	130489	131299	130691	128640	126938	127636	129692	127013	120488	116995	116905	118224																																																												
31	115430	118002	120247	121922	123043	123733	124017	123595	122340	120703	120003	120569	122694	125282	127420	127944	127477	126529	126367	127493	129936	132262	133280	133420	134073	137308	143617	153261	164955	169166	172304	168851	164780	162052	158495	154413	149919	145504	141556	136895	133450	129904	126047	123543	121570	121568	123834	127404	130644	131454	130846	128796	127096	127794	129849	127171	120649	117157	117067																																																												
32	112845	115369	117948	120198	121882	123012	123712	124002	123586	122339	120711	120027	120678	122824	125477	127652	128238	127752	126804	126797	127996	130265	132712	133818	134227	135859	139948	147261	156861	166453	169579	172480	168979	164897	162167	158610	154531	150038	145626	141680	137021	133579	130034	126179	123676	121705	121703	123969	127538	130778	131588	130981	128932	127233	127931	129986	127310	120790	117299																																																												
33	110742	112779	115309	117895	120152	121845	122983	123689	123985	123575	122336	120724	120121	120792	122999	125688	127919	128487	128000	127199	127262	128281	130659	133183	134533	135824	138285	143216	150490	158200	166813	169726	172581	169071	164988	162257	158703	154627	150137	145727	141783	137127	133687	130145	126292	123790	121820	121819	124085	127653	130892	131703	131096	129049	127350	128049	130104	127428	120911																																																												
34	108869	110669	112713	115248	117841	120106	121806	122950	123660	123962	123560	122336	120800	120216	120946	123185	125926	128141	128708	128358	127623	127513	128633	131082	133828	135987	138063	141275	146171	151710	158522	166937	169808	172651	169141	165059	162331	158779	154705	150219	145812	141870	137217	133779	130239	126388	123888	121919	121919	124184	127752	130990	131801	131196	129149	127452	128151	130205	127531																																																												
35	106929	108787	110595	112644	115185	117785	120057	121763	122911	123627	123936	123547	122394	120877	120348	121109	123396	126121	128335	129028	128738	127843	127827	129014	131667	135158	138064	140807	143988	147286	151999	158628	167001	169862	172701	169193	165114	162388	158839	154768	150285	145880	141942	137291	133855	130317	126469	123971	122003	122003	124269	127836	131073	131885	131280	129235	127539	128238	130292																																																												
36	104555	106838	108703	110516	112572	115121	117728	120005	121715	122868	123591	123913	123589	122452	120987	120487	121294	123567	126290	128619	129368	128929	128120	128166	129542	132882	137052	140582	143296	145004	147541	152086	158677	167039	169897	172735	169228	165153	162430	158884	154816	150336	145934	141999	137351	133918	130382	126536	124040	122074	122075	124340	127906	131143	131955	131351	129307	127612	128311																																																												
37	101947	104455	106743	108614	110435	112500	115055	117667	119949	121664	122824	123559	123939	123630	122542	121104	120648	121443	123714	126543	128923	129526	129164	128412	128630	130630	134594	139322	142825	144203	145221	147608	152119	158699	167054	169911	172749	169246	165175	162454	158911	154847	150370	145972	142039	137395	133964	130431	126588	124094	122129	122131	124396	127961	131197	132009	131406	129364	127670																																																												
38	99243	101837	104351	106645	108523	110353	112425	114986	117601	119888	121610	122782	123570	123964	123699	122637	121240	120773	121566	123937	126812	129049	129723	129412	128816	129600	132169	136636	141338	143630	144383	145266	147623	152125	158700	167050	169906	172744	169245	165178	162460	158921	154860	150387	145993	142063	137422	133994	130464	126624	124131	122169	122171	124436	127999	131235	132047	131445	129405																																																												
39	96473	99125	101723	104242	106544	108431	110267	112345	114910	117530	119822	121556	122777	123578	124012	123770	122746	121339	120872	121758	124172	126910	129208	129928	129757	129674	130994	133995	138439	142048	143775	144405	145263	147613	152112	158683	167028	169884	172722	169227	165163	162449	158913	154857	150387	145997	142071	137434	134009	130482	126645	124154	122194	122197	124461	128024	131258	132071	131470																																																												
40	93114	96346	99003	101606	104132	106442	108336	110179	112261	114830	117456	119759	121532	122765	123602	124058	123851	122819	121413	121032	121960	124243	127036	129373	130220	130510	130957	132623	135604	139062	142160	143776	144384	145237	147584	152081	158649	166990	169845	172683	169192	165133	162422	158890	154838	150373	145987	142064	137431	134009	130485	126651	124164	122205	122209	124472	128034	131268	132081																																																												
41	89322	92980	96215	98877	101487	104019	106336	108235	110083	112171	114745	117380	119717	121500	122767	123623	124111	123896	122865	121541	121199	122004	124337	127165	129615	130875	131688	132401	134050	136145	139143	142141	143737	144341	145193	147538	152034	158598	166935	169790	172628	169141	165087	162380	158852	154804	150344	145961	142043	137414	133996	130475	126645	124159	122203	122208	124471	128031	131264																																																												
42	81769	89181	92841	96080	98747	101364	103902	106223	108127	109979	112072	114656	117320	119665	121479	122764	123650	124130	123917	122961	121675	121217	122069	124435	127365	130191	131957	132985	133684	134524	136201	139107	142085	143675	144280	145132	147478	151972	158532	166864	169719	172557	169075	165026	162322	158799	154755	150300	145923	142008	137384	133970	130453	126626	124143	122189	122195	124457	128016																																																												
43	77459	81626	89034	92695	95938	98611	101234	103776	106101	108009	109867	111970	114578	117249	119623	121453	122764	123643	124123	123980	123060	121669	121257	122141	124602	127882	131166	133142	134156	134104	134556	136149	139035	142008	143598	144203	145057	147403	151895	158451	166778	169633	172469	168993	164949	162250	158731	154693	150243	145870	141961	137342	133931	130418	126595	124115	122163	122170	124432																																																												
44	76012	77307	81474	88876	92540	95787	98466	101092	103638	105966	107880	109747	111871	114487	117184	119572	121426	122730	123610	124155	124044	123029	121683	121303	122279	125071	128775	132263	134225	134530	134113	134488	136063	138945	141914	143506	144112	144967	147313	151802	158355	166675	169530	172366	168895	164858	162163	158649	154616	150172	145805	141900	137286	133879	130370	126552	124075	122126	122134																																																												
45	73444	75845	77146	81312	88709	92377	95627	98309	100939	103487	105821	107744	109628	111760	114399	117109	119519	121366	122670	123609	124184	123987	123015	121701	121410	122700	125883	129787	133261	134552	134514	134025	134386	135957	138837	141805	143397	144005	144862	147207	151695	158243	166557	169411	172247	168782	164750	162060	158552	154525	150086	145725	141826	137218	133816	130311	126497	124024	122078																																																												
