EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
48	60384	62813	65528	68549	71144	72796	77005	82615	86391	89737	92476	95178	97790	100197	102222	104209	106463	109228	112128	114761	116866	118379	119494	120248	120385	119999	119685	120528	122648	125789	129121	131940	133161	133433	133305	134085	136026	139253	142529	144404	145264	146363	148945	153611	160300	168701	171513	174259	170633	166505	163729	160126	155982	151486	147128	143243	138593	135173	131678																																																												
49	58179	60046	62476	65185	68201	70794	72449	76645	82238	86005	89346	92088	94785	97398	99818	101849	103850	106097	108857	111789	114436	116470	118008	119144	119963	120343	120309	120141	120946	122585	125474	128748	131553	132775	133052	132930	133715	135657	138881	142153	144029	144893	145996	148577	153236	159914	168299	171109	173854	170244	166132	163368	159779	155650	151170	146826	142954	138319	134911																																																												
50	56144	57820	59690	62115	64820	67830	70421	72077	76261	81834	85593	88932	91665	94362	96983	99407	101450	103445	105689	108477	111419	114003	116057	117613	118808	119846	120546	120648	120450	120820	122233	125070	128329	131130	132354	132638	132524	133313	135256	138477	141745	143622	144490	145597	148176	152828	159493	167861	170670	173414	169820	165726	162974	159400	155288	150824	146495	142638	138018																																																												
51	54317	55766	57446	59314	61736	64436	67440	70026	71683	75854	81408	85162	88486	91216	93919	96542	98973	101009	103002	105272	108068	110953	113552	115619	117226	118620	119956	120793	120867	120266	120429	121799	124624	127876	130673	131901	132191	132086	132878	134822	138039	141304	143182	144055	145164	147742	152387	159038	167387	170195	172938	169361	165285	162547	158989	154893	150447	146135	142292																																																												
52	52446	53919	55374	57053	58921	61339	64033	67029	69610	71268	75425	80962	84698	88013	90748	93451	96077	98500	100534	102551	104830	107571	110467	113074	115185	116967	118653	120107	120917	120618	119831	119960	121324	124143	127389	130184	131415	131713	131616	132413	134358	137571	140832	142711	143587	144701	147277	151913	158549	166879	169685	172427	168868	164811	162088	158547	154469	150041	145747																																																												
53	50575	52026	53504	54960	56638	58505	60918	63605	66592	69166	70826	74971	80477	84201	87517	90250	92955	95573	97991	100047	102074	104302	107052	109953	112598	114862	116930	118717	120143	120606	120136	119323	119452	120817	123632	126873	129665	130900	131204	131116	131918	133864	137072	140328	142208	143089	144206	146781	151408	158028	166337	169141	171881	168342	164305	161598	158074	154015	149606																																																												
54	48617	50128	51583	53059	54515	56193	58059	60465	63142	66119	68686	70349	74471	79951	83670	86981	89716	92413	95025	97461	99528	101508	103748	106504	109435	112212	114758	116899	118660	119769	120076	119582	118776	118911	120279	123090	126325	129114	130353	130665	130586	131394	133339	136542	139794	141675	142561	143681	146253	150871	157475	165761	168563	171301	167782	163766	161075	157570	153531																																																												
55	46577	48143	49655	51108	52583	54039	55715	57576	59972	62639	65604	68165	69822	73927	79388	83097	86405	89132	91822	94451	96894	98917	100911	103158	105941	108984	112034	114638	116752	118223	119188	119471	118984	118190	118336	119705	122512	125742	128527	129770	130090	130020	130833	132779	135977	139224	141105	141995	143119	145689	150296	156882	165145	167944	170680	167182	163189	160515	157030																																																												
56	44885	46080	47645	49153	50602	52075	53529	55200	57054	59439	62094	65045	67597	69256	73348	78783	82485	85779	88500	91205	93839	96238	98272	100274	102547	105423	108735	111822	114399	116249	117589	118530	118818	118343	117564	117719	119092	121894	125118	127899	129145	129474	129414	130233	132178	135371	138611	140493	141388	142516	145083	149679	156246	164482	167279	170013	166537	162568	159912																																																												
57	43593	44364	45560	47118	48621	50066	51534	52983	54647	56493	58865	61507	64447	66992	68658	72732	78142	81827	85109	87842	90551	93139	95544	97586	99611	101964	105095	108430	111488	113827	115558	116877	117819	118115	117655	116892	117058	118434	121231	124448	127224	128475	128812	128763	129587	131532	134718	137953	139835	140735	141866	144431	149014	155560	163769	166563	169294	165842	161898																																																												
58	42995	43040	43816	45009	46558	48055	49494	50955	52398	54055	55890	58249	60885	63812	66355	68024	72082	77456	81124	84411	87146	89809	92402	94810	96874	98973	101570	104705	108011	110853	113082	114791	116109	117057	117364	116920	116173	116350	117729	120520	123729	126501	127755	128101	128063	128893	130838	134017	137245	139127	140032	141167	143729	148299	154823	163001	165792	168519	165093																																																												
59	42737	42395	42455	43232	44420	45961	47449	48882	50335	51771	53418	55244	57599	60223	63142	65678	67353	71385	76724	80390	83673	86365	89029	91624	94050	96182	98515	101104	104212	107319	110056	112262	113969	115289	116245	116564	116136	115407	115595	116977	119763	122963	125729	126988	127343	127316	128152	130097	133268	136488	138370	139280	140420	142977	147533	154032	162179	164965	167689																																																												
60	42760	42079	41760	41830	42609	43792	45323	46802	48227	49672	51101	52739	54567	56911	59528	62433	64965	66637	70645	75960	79616	82852	85544	88209	90817	93301	95666	97969	100536	103463	106473	109184	111384	113092	114416	115379	115710	115298	114589	114788	116173	118952	122143	124903	126166	126531	126516	127359	129302	132465	135676	137558	138474	139617	142170	146711	153184	161296	164078																																																												
61	42458	42040	41388	41087	41171	41949	43128	44648	46119	47535	48972	50395	52037	53859	56196	58801	61693	64212	65884	69877	75159	78763	81990	84681	87353	90009	92715	95037	97321	99728	102566	105549	108249	110444	112154	113483	114453	114797	114404	113713	113925	115313	118085	121266	124019	125286	125661	125659	126507	128450	131604	134805	136687	137608	138755	141304	145827	152272	160347																																																												
62	41748	41684	41291	40666	40386	40482	41263	42435	43945	45407	46817	48247	49675	51312	53131	55456	58049	60919	63424	65106	69076	74282	77870	81084	83777	86484	89347	91998	94302	96446	98778	101590	104558	107249	109441	111152	112485	113463	113820	113445	112776	113000	114391	117155	120324	123070	124341	124727	124738	125593	127534	130677	133869	135749	136677	137828	140371	144876	151291																																																												
63	40465	40928	40885	40517	39919	39661	39770	40552	41719	43219	44672	46076	47508	48933	50567	52378	54691	57262	60111	62611	64295	68201	73364	76929	80135	82853	85746	88562	91191	93363	95438	97749	100547	103501	106183	108370	110082	111420	112406	112776	112421	111774	112011	113405	116159	119317	122054	123329	123726	123750	124612	126551	129683	132864	134743	135676	136831	139368	143853																																																												
